,GOOG
2021-07-22,67.42655601564005
2021-07-23,75.67883973774187
2021-07-26,76.70025500730361
2021-07-27,65.97399676410625
2021-07-28,67.53300477098671
2021-07-29,67.15169794761512
2021-07-30,61.28310519501741
2021-08-02,61.90699975265891
2021-08-03,60.40140506898676
2021-08-04,62.13991577450346
2021-08-05,62.77103834375423
2021-08-06,72.29799152328212
2021-08-09,70.82415067510381
2021-08-10,68.12187307554528
2021-08-11,64.69041377537908
2021-08-12,52.59373969163586
2021-08-13,43.300725343440384
2021-08-16,65.3465412168164
2021-08-17,55.66868837461457
2021-08-18,50.17004051430661
2021-08-19,60.988183640960216
2021-08-20,64.47114144095215
2021-08-23,72.2538416554523
2021-08-24,76.81882657676178
2021-08-25,76.09416054622233
2021-08-26,70.76841037704114
2021-08-27,73.88487743196508
2021-08-30,75.3664562231674
2021-08-31,77.4968124190959
2021-09-01,76.97549595207666
2021-09-02,68.84891773092596
2021-09-03,68.94158016608506
2021-09-06,76.98280496725805
2021-09-07,82.27427362646918
2021-09-08,78.150660863229
2021-09-09,75.57359902054353
2021-09-10,53.16145883491451
2021-09-13,54.0283333141217
2021-09-14,51.7889789081871
2021-09-15,61.2370817524435
2021-09-16,49.2699700939473
2021-09-17,35.80836588390338
2021-09-20,30.53214652465769
2021-09-21,31.56372427045514
2021-09-22,40.04190930027031
2021-09-23,41.226553532770566
2021-09-24,43.9182175331821
2021-09-27,38.83763892386094
2021-09-28,30.820751924215514
2021-09-29,28.627205350267147
2021-09-30,30.829838358099494
2021-10-01,35.549011358855694
2021-10-04,32.057875238605305
2021-10-05,33.57108984475212
2021-10-06,37.38565568376256
2021-10-07,45.7412570695686
2021-10-08,52.06405193413173
2021-10-11,48.448429228306665
2021-10-12,42.0544658571254
2021-10-13,42.69878812503263
2021-10-14,47.937162322760535
2021-10-15,50.3028545294321
2021-10-18,63.72065117049293
2021-10-19,69.46388896516973
2021-10-20,69.02615274584475
2021-10-21,64.89181185383289
2021-10-22,60.718523538988904
2021-10-25,56.360536715031834
